Gene,Pathway_Count,Mean_NES,Strongest_NES
QPRT,14,-1.937272539875257,2.42123244465721
UPP1,14,-1.9944069057244243,2.42123244465721
INSIG1,14,-1.8479568911756414,2.40177394601922
LPCAT3,14,-1.8793901119782521,2.40177394601922
NDUFS4,14,-2.131952064478262,2.34927142867772
GPAM,14,-1.7700130119773743,2.26421603341546
LPGAT1,14,-1.7026821901239428,2.26421603341546
LPIN1,14,-1.7052346910130936,2.26421603341546
GOT2,14,-1.6976512656674978,2.16340511857394
ANGPTL3,14,-1.7586732469306627,2.11697714379173
PCSK9,14,-1.7730948526626529,2.11697714379173
KDM1A,14,1.5677639933862215,1.86283688289286
LTBP3,14,1.5755227919209835,1.86283688289286
ZMYND8,14,1.6425720654544322,1.86090112988348
ARID1A,14,1.5628881653360813,1.84034009692533
ARID1B,14,1.562658135734585,1.84034009692533
NCAPD2,14,1.6182886063188464,1.84034009692533
NCAPD3,14,1.6182886063188464,1.84034009692533
NCAPH,14,1.6182886063188464,1.84034009692533
COLQ,14,1.617106152287728,1.80068983496047
EHMT2,14,1.515149723434133,1.79200868483243
ANG,14,1.5491398679708106,1.75162645339694
SOX15,14,1.5646961337630092,1.74215195613157
MARK1,14,1.6309583800934522,1.74167257677338
HBEGF,14,1.558865419479035,1.73633498085397
SYT1,14,1.5968282495270043,1.73633498085397
CENPA,14,1.5423096476892892,1.72991752580885
KANK1,14,1.521969937538388,1.6928118403035
SOX6,14,1.5672223150414928,1.68285375720644
KANK2,14,1.4437433016440564,1.64547553159722
APRT,13,-2.048151754401773,2.42123244465721
ENTPD7,13,-2.0471784446779115,2.378691247977
NDUFA13,13,-2.156985525051677,2.34927142867772
NDUFA7,13,-2.184463766022853,2.34927142867772
NDUFC1,13,-2.184463766022853,2.34927142867772
ABHD3,13,-1.7671465488839468,2.26421603341546
AGK,13,-1.835356670264923,2.19832069256979
ACOT4,13,-1.7871683221711676,2.16340511857394
STAR,13,-1.79417765878927,2.11697714379173
PPP1R13L,13,1.673021365584654,2.0148161587647
ACOX1,13,-1.7249926955967532,1.97238216203778
GSTP1,13,-1.6937386443428315,1.97238216203778
PTPRM,13,1.598654086514447,1.90988691437547
CHFR,13,1.5846584487569984,1.84034009692533
DPF3,13,1.5695047975806091,1.84034009692533
KIF2C,13,1.5929564764162585,1.84034009692533
NCAPG,13,1.6249932331739692,1.84034009692533
SMARCC2,13,1.5665605335447323,1.84034009692533
ATOH8,13,1.5848971215194938,1.83625629417504
ING2,13,1.5563399361811017,1.83625629417504
SRGAP2,13,1.6033888118088946,1.80064080740009
FOXL2,13,1.5339073752127992,1.79884608150781
FOXP2,13,1.5411481117926584,1.76223627997697
LMNA,13,1.5447744748804815,1.76223627997697
CASR,13,1.5225646939416362,1.75587428465578
SPINT2,13,1.522093187604103,1.75587428465578
TEAD2,13,1.5554086159682308,1.75522565274067
AKT3,13,1.569238981634143,1.75162645339694
VASH2,13,1.5676509200237354,1.75162645339694
FOXO1,13,1.6090797852821015,1.74421674271642
PAK3,13,1.5676063578413393,1.74404340020384
SLITRK4,13,1.6069015718795732,1.74404340020384
IGFBP1,13,1.612636398800474,1.73633498085397
CDC7,13,1.5033409627224423,1.73393485669993
DTL,13,1.5033409627224423,1.73393485669993
FANCD2,13,1.4950817401680623,1.73393485669993
HUS1B,13,1.4866289202228478,1.73393485669993
PLK3,13,1.4867584529246338,1.73393485669993
KIF23,13,1.5570643362825431,1.72991752580885
NUSAP1,13,1.5611059175553592,1.72991752580885
SPAG5,13,1.5504183944797907,1.72991752580885
ID1,13,1.5566832246904385,1.71800106759615
NR2F2,13,1.5066235900189477,1.70232268389385
SGCD,13,1.5819126036482491,1.69344283404169
ERCC2,13,1.4872007375978353,1.67955295230531
GJC1,13,1.5682977995617777,1.67559213425558
