"Regulator","Target_Count","Overlap","OddsRatio","PValue","OverlapGenes","FDR"
"SP1",472,92,1.27094347110383,0.0423097086658901,"SOX9;FGFR1;BCL2;EGFR;LRP5;PDGFB;BIRC5;APLNR;IL10;MMP14;LDHA;SIRT1;APOE;EDNRB;PSEN1;BRCA1;NDUFV2;FBP1;CDH3;INSR;ERBB2;HMGA2;APOA1;BRD7;WT1;EGR1;CDK6;FOS;IMPDH2;SOD2;CAT;TNNI3;AGT;ESR1;HBEGF;STAR;GSTP1;KIF2C;IGFBP1;E2F1;IGFBP3;PTGES;NR4A1;MYBL2;F2R;CCNA2;F3;RORA;PLAA;XPC;LTBP4;KRT19;FXR2;C1QBP;ABCA1;MIF;CDH2;FBLN1;PDGFC;KCTD11;CCND2;DHCR24;NOL7;DNMT3A;ALOX5;KDR;CYP7B1;PROM1;GM2A;ACO1;RPS3A;RELA;PTTG1;PTEN;SLC19A3;SREBF1;HSD17B1;HSD3B1;B4GALT1;MMP11;PTGS2;B4GALT5;BACE2;CASP3;FOXM1;DNMT1;POR;IGF2;LPL;SLC29A1;OXTR;VIM",0.308256448851485
"TCF4",25,8,2.44878475257912,0.0442623991583204,"BCL2;KLF4;BIRC5;JUN;WNT4;PTEN;VIM;VCAN",0.312560634056447
"TWIST2",25,8,2.44878475257912,0.0442623991583204,"FN1;CDH1;FOS;F2R;MYB;CDH2;AKR1C2;ERBB3",0.312560634056447
"HIC1",9,4,4.10876033057851,0.0479581673950084,"SIRT1;E2F1;STAT3;VLDLR",0.325118544390574
"FOXM1",17,6,2.84398665466292,0.0501297838506806,"CCNB1;CDH1;APOE;CDC6;CDC25B;BTG2",0.325118544390574
"HMGA1",17,6,2.84398665466292,0.0501297838506806,"CDH1;TP53;BRCA1;INSR;CRYAB;PTGS2",0.325118544390574
"E2F3",13,5,3.25259095132585,0.0509989873553842,"CDK1;CCNB1;PLK1;CDC6;CCNA2",0.325118544390574
"HDAC7",13,5,3.25259095132585,0.0509989873553842,"ESR1;NR4A1;HDC;MEF2D;AKAP12",0.325118544390574
"KLF5",13,5,3.25259095132585,0.0509989873553842,"CCNB1;BIRC5;FASN;FOXO1;MYH11",0.325118544390574
"NFYC",13,5,3.25259095132585,0.0509989873553842,"FOS;FDPS;LPIN1;FXR2;CCND2",0.325118544390574
"ARID3A",6,3,5.01451027811366,0.0623176627537019,"CDK1;CDC6;E2F1",0.381384096052656
"MBD1",6,3,5.01451027811366,0.0623176627537019,"ALOX5;IGF2;SETDB1",0.381384096052656
"PAX2",6,3,5.01451027811366,0.0623176627537019,"TP53;ERBB2;WT1",0.381384096052656
"USF1",65,16,1.68747399084478,0.0634914928179519,"TGFB2;EXT1;CCNB1;FBP1;AGT;BRCA2;HMOX1;SCN9A;SLC16A1;ABCA1;CEACAM1;SLC1A3;RELA;B2M;PTGS2;POU2F1",0.383455200045262
"HDAC9",18,6,2.61520097442144,0.0649938913491623,"TP53;ESR1;IGFBP1;IL18;RELA;HSPA5",0.38743111856189
"PPARD",10,4,3.47496503496503,0.0696835013777782,"CAT;ANG;TXN;LPL",0.395943684621388
"TFDP1",10,4,3.47496503496503,0.0696835013777782,"CDK1;TP53;MYBL2;RRM1",0.395943684621388
"BDP1",3,2,8.34539605950945,0.0741855269660988,"TP53;RB1",0.395943684621388
"DACH1",3,2,8.34539605950945,0.0741855269660988,"FOS;TNFSF11",0.395943684621388
"DDB2",3,2,8.34539605950945,0.0741855269660988,"BCL2;SOD2",0.395943684621388
"EGR3",3,2,8.34539605950945,0.0741855269660988,"CAT;NAB2",0.395943684621388
"GTF2I",3,2,8.34539605950945,0.0741855269660988,"SIRT1;HSPA5",0.395943684621388
"SIM2",3,2,8.34539605950945,0.0741855269660988,"BCL2;CASP3",0.395943684621388
"TSG101",3,2,8.34539605950945,0.0741855269660988,"EGFR;CEP55",0.395943684621388
"GATA4",19,6,2.42030946903054,0.0821641954901856,"NPPA;ERBB2;STAR;AMH;FCGR2B;CCND2",0.433486962413738
"NR4A1",15,5,2.63050396343227,0.089638673281118,"STAR;E2F1;CCNA2;CYP11A1;HSD3B2",0.467547170864013
"MTA1",24,7,2.15541601255887,0.0907749252213181,"EGFR;SNAI2;CDH1;BRCA1;ESR1;SMAD7;PTEN",0.468153827826798
"HEY1",7,3,3.89829369877737,0.0958692628729104,"GATA6;KDR;BMP2",0.472980203317283
"KLF10",7,3,3.89829369877737,0.0958692628729104,"FGFR1;EGFR;STMN1",0.472980203317283
"NCOA3",7,3,3.89829369877737,0.0958692628729104,"BCL2;BRCA1;ERBB2",0.472980203317283
"ARNT",20,6,2.25229955059011,0.101603407881604,"JUN;BRCA1;FOS;ESR1;CDK2;MFSD2A",0.472980203317283
"EZH2",40,10,1.73316798741758,0.11657180136604,"SNAI2;CDH1;TP53;BRCA1;PAX8;IGFBP1;SFRP1;AXL;RPLP0;PTEN",0.472980203317283
"KLF4",40,10,1.73316798741758,0.11657180136604,"CCNB1;BIRC5;CDH1;CDKN1C;PFKP;TP53;KRT19;ATF3;HDC;LAMA3",0.472980203317283
"TCF7L2",12,4,2.65475935828877,0.125248485523141,"SNAI2;BIRC5;STAT3;PTGS2",0.472980203317283
"EP300",56,13,1.56403025253173,0.128298459620231,"IGF1;BIRC5;NR1H4;BRCA1;ERBB2;WT1;IGFBP3;VCAM1;RELA;PTGS2;DNMT1;EIF2AK1;LAMA3",0.472980203317283
"CTBP1",4,2,5.00482509047045,0.132176730631125,"BRCA1;BRCA2",0.472980203317283
"ENO1",4,2,5.00482509047045,0.132176730631125,"HSD3B2;PTGS2",0.472980203317283
"HBP1",4,2,5.00482509047045,0.132176730631125,"MIF;DNMT1",0.472980203317283
"PIAS3",4,2,5.00482509047045,0.132176730631125,"ESR1;STAT3",0.472980203317283
"SUZ12",4,2,5.00482509047045,0.132176730631125,"SNAI2;IGF2",0.472980203317283
"ZNF143",4,2,5.00482509047045,0.132176730631125,"BUB1B;PCYT1A",0.472980203317283
"ATF5",8,3,3.18797405738155,0.135034849040234,"BCL2;EGR1;ID1",0.472980203317283
"ERCC2",8,3,3.18797405738155,0.135034849040234,"BCL2;TP53;E2F1",0.472980203317283
"HDAC5",8,3,3.18797405738155,0.135034849040234,"WT1;IGF2;SLC2A1",0.472980203317283
"MEF2C",8,3,3.18797405738155,0.135034849040234,"CDKL5;JUN;NR4A1",0.472980203317283
