"Term","NES","padj","LeadingEdgeGenes"
"Axon Development",1.74404340020384,3.99521470729592e-07,"PTPRZ1;WNT5A;NELL2;SEMA5A;PRICKLE1;CDH4;NDP;S100B;DCHS2;EGR2;UST;NR4A3;MATN2;SEMA7A;PAK3;CNTN1;STMN1;ROBO3;VANGL2;VASH2;CDKL5;TGFB2;JUN;NRP1;SEMA4A;PTPRS;ABLIM1;TIAM2;SEMA6C;SEMA3C;SKIL;ERBB2;CNTN4;BCL11A;PTPRM;SMO;GPM6B;APBB1;ANK3;EFNB1;TTL;UNC5D;RAB3A;KIF13B;NTN4;UNC5C;ADCY1;ARHGEF40;BCL2;TTC8;PAK1;ULK2;PLP1;PLXNB1;RPS6KA5;PLEKHG4B;DDR1;FEZ1;GDI1;ACTG1;FN1;BRSK1;CHL1;NEO1;CDH1;FYN;LHX4;PRKCQ;KALRN;CHODL;KLF4;SEMA3A;NR4A2;BMPR2;CELSR2;NTRK2;SEMA4C;MAG;FOXG1;CRABP2;RYK;LIMK1;ATL1;SEMA3B;PTK7;CSPG5;SLITRK4;SLITRK2;ULK1;VCL;NRP2;SYNGAP1;NOTCH3;EXT1;CNTN2;ZFYVE27;GDF7;DLX5;SRF;B4GALT5;DIP2B;FAT4;FZD3;CHRNB2;PCDHAC2;FGFR2;TUBB3;SMAD4;PTCH1;EPHA6;CHN1;ANAPC2;DPYSL5;SEMA6A;KIF5C;DAG1;CELSR1;EFNB3;KIFC2;EFNA5;ATP8A2;IFRD1;NEXN;EFNA1;LAMA2;NFASC;SEMA4F;LAMB2"
"Small Molecule Catabolic Process",-1.86040108456275,6.43298090173602e-07,"PGK1;LDHA;CROT;ENO2;QPRT;DECR1;LDHB;GK5;GNPDA1;TPI1;ENO1;GAPDH;SORD;SLC16A3;DDO;GOT2;MPI;SCARB1;NUDT5;PFKP;DLAT;LPIN1;HK2;PGAM1;PARK7;ALDH8A1;APOE;GCSH;ALDH1B1;ACSS2;HAL;HSD17B6;HSD17B4;GALT;FAH;ALDOA;SRD5A3;GK;HMGCL;NQO2;ACOT7;ACOX1;ETFB;PCCA;PNP;GLS;ENPP4;GALE;ENTPD7;ACBD5;SLC16A1;MCCC2;GALM;ETFA;GLB1;UPP1;ACOT4;ECH1;BCAT1;ECHS1;SARDH;ADH5;HADH;LDHAL6B;DLD;GOT1;GCAT;MCEE;IVD;GPT2;HDC;NUDT3;FTCD;MLYCD;SCP2;NUDT8;DECR2;ABHD3;ABHD2;ETFDH;MFSD2A"
"Cell Morphogenesis Involved in Neuron Differentiation",1.67882606911224,9.32174468756363e-07,"PTPRZ1;WNT5A;NELL2;SEMA5A;PRICKLE1;CDH4;NDP;S100B;DCHS2;DBN1;HES1;EGR2;UST;NR4A3;FAT3;MATN2;SEMA7A;PAK3;CNTN1;STMN1;ROBO3;VANGL2;CDKL5;TGFB2;CC2D1A;NRP1;SEMA4A;PTPRS;ABLIM1;TIAM2;SEMA6C;SEMA3C;SKIL;ERBB2;MAPK8IP2;CNTN4;BCL11A;PTPRM;SMO;APBB1;ANK3;EFNB1;TTL;UNC5D;RAB3A;KIF13B;NTN4;UNC5C;ADCY1;NGEF;ARHGAP33;ARHGEF40;FZD4;BCL2;TTC8;PAK1;ULK2;PLXNB1;RPS6KA5;ARHGAP44;PLEKHG4B;FEZ1;KNDC1;GDI1;ACTG1;LZTS1;FN1;TECTA;BRSK1;CHL1;NEO1;CDH1;FYN;LHX4;KIF1A;PRKCQ;KALRN;CHODL;ZDHHC15;SEMA3A;NR4A2;BMPR2;CELSR2;PTPRD;NTRK2;SEMA4C;MAPRE3;MAG;FOXG1;DLG4;CRABP2;RYK;LIMK1;ATL1;SEMA3B;PTK7;STAU2;SLC1A3;PARP6;SLITRK4;SLITRK2;ULK1;VCL;NRP2;SYNGAP1;NOTCH3;HECW2;EXT1;CNTN2;EFHC2;ZFYVE27;GDF7;DLX5;SRF;CHRNA7;B4GALT5;DIP2B;FAT4;FZD3;CHRNB2;PCDHAC2;UNK;FGFR2;TUBB3;SMAD4;PTCH1;EPHA6;DTNBP1;CHN1;STRC;SS18L1;ANAPC2;DPYSL5;SEMA6A;KIF5C;DAG1;CELSR1;EFNB3;KIFC2;EFNA5;ATP8A2;IFRD1;NEXN;EFNA1;LAMA2;NFASC;SEMA4F;LAMB2"
"Nucleoside Triphosphate Biosynthetic Process",-2.26652379866563,9.32174468756363e-07,"AK4;ENO1;NME1;NDUFB9;MAP2K1;NDUFS3;LIPA;ALDOA;NDUFA9;NDUFB3;IMPDH2;NUDT2;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;NDUFA8;NDUFA6;NME4;SDHD;NDUFC2;NDUFV2;NDUFB2;STOML2;NDUFA1;PRKAG2;SLC25A13;TBPL1;DTYMK;NDUFB10;NDUFB8;STAT3;NME3;NME7;NDUFA7;NDUFC1;SDHC;NME2;NDUFA13;VCP;NDUFS4;CMPK2"
"Ribosome Biogenesis",-1.83877677179267,1.18386862944755e-06,"MPHOSPH6;TRMT61B;WDR43;DKC1;CUL4B;RCL1;RRP36;RPF2;YBEY;C1QBP;RAN;RPS12;EXOSC8;PRMT5;NHP2;RRN3;DDX47;NIP7;NPM1;RRP7A;NUDT16;NOL11;RPL38;MRTO4;RPL7L1;NDUFAB1;TFB2M;SUV39H1;RPS13;CINP;TSR1;EBNA1BP2;IMP3;DDX55;RPP40;EXOSC7;RPS28;RPLP0;GNL2;NSUN4;HEATR3;NOP10;GTPBP4;RPS8;RPL27;C1D;RPS5;RPP30;RPS15A;RPS23;RPL35A;RPS21;WDR36;RPL5;RPSA;RPS27A;POP4;METTL5;EMG1;SRFBP1;RPL7A;FTSJ3;NOL7;RPS6;RPS19BP1;RPL35;MTG1;DDX31;DCAF13;RPUSD2;RPS24;NVL;DDX52;NOP14;UTP6;URB2;DDX21;MRPS2;BYSL;UTP20;FBL;PRKDC;RPS17;WDR3;RPS3A;NOB1;WDR77;RPS14;EIF5B;BMS1;RPS19;PES1;RPL11;LAS1L;WDR12;RPL7;RPL14;NOP16;XRCC5;PWP1;DDX49;WDR74;NAT10;POP7;SDAD1;DDX18;FASTKD2;FCF1;PIN4;HEATR1;NMD3;NSA2;RPL26;NOM1;METTL18;TSR2;FRG1;RPS27L;TUFM;RPS16;EXOSC2"
"Pyridine Containing Compound Catabolic Process",-2.25578721583179,1.2459021858101e-06,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;QPRT;UCP2;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;GPI;PFKP;PFKFB4;HK2;PGAM1;PGAM4;MFSD8;NUDT12;SLC4A4;LIPA;ALDOA;PRKAA1;HKDC1;PNP;PFKFB3"
"Sterol Biosynthetic Process",-2.40177394601922,1.2459021858101e-06,"EBP;NSDHL;FDPS;CYP51A1;DHCR7;MVK;HSD17B7;ACLY;LSS;MVD;SEC14L2;APOA1;SQLE;HMGCS1;LPCAT3;APOE;IDI1;LIPA;FDFT1;PRKAA1;INSIG2;HMGCR;MAPK1;ERLIN2;PMVK;DHCR24;PRKAG2;INSIG1;ERLIN1"
"Carbohydrate Derivative Catabolic Process",-1.96346864173989,1.33093612693122e-06,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;HEXB;GALC;GNPDA1;TPI1;ENO1;GAPDH;GPI;PFKP;PFKFB4;GM2A;HK2;PGAM1;GNS;PGAM4;PDE8A;FUCA2;STT3B;MFSD8;LYVE1;SLC4A4;GALT;LIPA;ALDOA;PRKAA1;PDE10A;HKDC1;NUDT16;PNP;PFKFB3;ENPP4;LCT;MANBA;GALE;ENTPD7;FBXO17;FUCA1;AMPD3;HYAL3;GALM;NEU1;FBP1;ITPA;UNG;GLB1;UPP1;DHTKD1;PSEN1;FGF2;MTCH2;NAGA"
"Alcohol Biosynthetic Process",-2.19832069256979,1.40145581079077e-06,"EBP;NSDHL;FDPS;CYP51A1;DHCR7;MVK;HSD17B7;ACLY;LSS;MVD;SEC14L2;APOA1;PARK7;SQLE;HMGCS1;LPCAT3;APOE;IDI1;SPTLC2;LIPA;FDFT1;PRKAA1;SPTSSA;INSIG2;HMGCR;MAPK1;AGK;PPIP5K2;ERLIN2;ACER2;SPR;PMVK;IPMK;CYP2R1;DHCR24;IPPK;GOT1;INSIG1;ERLIN1;LHCGR;SCP2;SPTLC1;ASAH1;IP6K2;GPR146;BMP2;ARV1;SREBF1;QDPR"
"Nucleoside Phosphate Catabolic Process",-2.04503318756484,1.40145581079077e-06,"PGK1;LDHA;MLXIPL;ENPP3;ALDOC;ENO2;UCP2;SMPDL3A;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;NME1;GPI;ENTPD3;NUDT5;PFKP;PFKFB4;HK2;PGAM1;PGAM4;PDE8A;MFSD8;NUDT12;SLC4A4;LIPA;ALDOA;PRKAA1;PDE10A;FITM2;HKDC1;ACOT7;NUDT16;PNP;PFKFB3;ENTPD7;AMPD3;SUCLG1;FBP1;ITPA;UNG;UPP1;DHTKD1;PSEN1;MTCH2"
"Carbohydrate Derivative Biosynthetic Process",-1.61466206776013,2.6366515177253e-06,"AK4;C1GALT1C1;AK2;HEXB;GK5;PLOD1;GNPDA1;TPI1;ENO1;MGAT4A;NME1;MGAT5;MPI;GMDS;PAICS;NDUFB9;CCDC134;MAP2K1;B3GALNT2;GALNT12;APRT;GMPPB;TMEM165;DAD1;ANGPT1;TRAK2;PAPSS2;NDUFS3;ALG3;STT3B;OSTC;ALG1;NANP;SPTLC2;LIPA;ST3GAL6;RPN1;TKT;ALDOA;NDUFA9;IL33;STT3A;POGLUT1;PRKAA1;DGUOK;MAN2A1;SRD5A3;GK;GMPS;NDUFB3;SPTSSA;IMPDH2;PGAP2;GFPT1;TGDS;TYW3;PNP;GALNT1;CMAS;RPN2;NUDT2;NDUFS8;MTHFD1;ALG8;CLTC;NDUFAB1;NDUFA12;NDUFS5;HAS2;GANAB;PIGU;GCNT3;AMPD3;ALG5;CTNNB1;NUS1;NDUFA8;SLC35D1;NDUFA6;ACER2;NME4;UPP1;DPM3;SDHD;HS2ST1;PIGA;NDUFC2;B4GALT1;EXTL2;NDUFV2;NDUFB2;UBE2J1;POFUT1;TUSC3;PSEN1;STOML2;PGM2;GALNT7;B3GNT5;UXS1;GALNT3;NDUFA1;GCNT4;PGM3;DCTD;OST4;PRKAG2;FUT11;BACE2;SLC25A13;ATIC;KDSR;TBPL1;PLOD2;ALG10;RRM1;DTYMK;DPAGT1;HPRT1;NDUFB10;SPTLC1;PIGP;NDUFB8;PMM2;CHST2;DDOST;DOLPP1"
"Neuron Projection Guidance",1.90988691437547,3.08008027121446e-06,"WNT5A;NELL2;SEMA5A;CDH4;NDP;EGR2;NR4A3;MATN2;SEMA7A;CNTN1;ROBO3;VANGL2;TGFB2;NRP1;SEMA4A;ABLIM1;SEMA6C;SEMA3C;ERBB2;CNTN4;PTPRM;SMO;EFNB1;UNC5D;NTN4;UNC5C;ARHGEF40;TTC8;ULK2;RPS6KA5;PLEKHG4B;FEZ1;CHL1;NEO1;FYN;LHX4;PRKCQ;KALRN;SEMA3A;BMPR2;SEMA4C;FOXG1;RYK;SEMA3B;PTK7;NRP2;NOTCH3;EXT1;CNTN2;GDF7;DLX5;FZD3;PCDHAC2;TUBB3;SMAD4;PTCH1;EPHA6;CHN1;DPYSL5;SEMA6A;KIF5C;DAG1;EFNB3;KIFC2;EFNA5;NEXN;EFNA1;LAMA2;NFASC;SEMA4F;LAMB2;FLRT2;ALCAM;PTPRH;SEMA6B"
"Cholesterol Biosynthetic Process via Desmosterol",-2.42365250697278,3.67167690218288e-06,"EBP;NSDHL;FDPS;DHCR7;MVK;HSD17B7;LSS;MVD;SQLE;HMGCS1;IDI1;FDFT1;HMGCR"
"Amide Metabolic Process",-1.69173038530956,4.807464697511e-06,"PGK1;CROT;IDH1;ELOVL6;SMPDL3A;NR1H4;LRP4;MVK;PDK1;HEXB;GALC;GNPDA1;ACLY;HSD17B12;P4HB;MVD;SOD2;NME1;ETHE1;APOA1;DLAT;GM2A;SPON1;TPK1;TECR;CASP3;HMGCS1;APOE;FASN;SLC1A2;ACSS2;HAL;PPT1;HSD17B4;SLC46A1;NANP;SPTLC2;ACSL1;ACSL3;XPNPEP1;CTSZ;GCLM;GSTT2;PCSK6;PRKAA1;PDK3;SPTSSA;FITM2;ACOT7;HMGCR;AGMAT;SLC2A13;GSTT1;PCCA;PNP;AGK;CMAS;LCT;IDE;GPAM;MTHFD1;GLO1;FAR1;ELOVL5;ACSL4;PANK1;PREP;OSBP;MECR;MCCC2;SGMS2;SUCLG1;NEU1;EPHA4;ACER2;GLB1;SLC25A16;PAM;ACACA;ACOT4;PMVK;GSTP1;PSEN1;OXSM;DLD;MCEE;GPX1;ACOT9;SLC16A12;BACE2;PRCP;FTCD;PSENEN;KDSR;DGAT2;ABHD4;MLYCD"
"Cardiac Chamber Development",1.95493612173228,4.807464697511e-06,"SOX4;WNT5A;HES1;NPY2R;ZFPM2;SAV1;VANGL2;TGFB2;NRP1;SMAD6;ANK2;HEYL;HAND2;SEMA3C;NRG1;COL11A1;KCNJ8;SMO;DSP;GJA5;GREB1L;MYOCD;CRELD1;SCN5A;TBX3;JAG1;TNNI3;PAX8;SUFU;PRDM1;BMPR2;GRHL2;PPP1R13L;GSK3A;PTK7;APLNR;NRP2;UBE4B;SRF;GATA6;CHD7;FGFR2;SMAD4"
"Glycolytic Process Through Glucose 6 Phosphate",-2.44076113924839,5.05981638311607e-06,"PGK1;ENO2;TPI1;ENO1;GAPDH;PFKP;HK2;PGAM1;ALDOA"
"Ribonucleotide Catabolic Process",-2.08989517670596,5.05981638311607e-06,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;GPI;PFKP;PFKFB4;HK2;PGAM1;PGAM4;PDE8A;MFSD8;SLC4A4;LIPA;ALDOA;PRKAA1;PDE10A;HKDC1;PNP;PFKFB3;ENTPD7;AMPD3;FBP1;ITPA;UPP1;DHTKD1;PSEN1;MTCH2;PRKAG2;NUDT3"
"Sterol Metabolic Process",-2.11697714379173,5.05981638311607e-06,"EBP;NSDHL;FDPS;CYP11A1;APOC1;NR1H4;PCSK9;CYP51A1;DHCR7;MVK;VLDLR;HSD17B7;ACLY;LSS;MVD;SEC14L2;APOA1;SCARB1;STAR;CAT;SQLE;ANGPTL3;HMGCS1;LPCAT3;APOE;IDI1;ERRFI1;STARD4;LIPA;FDFT1;ABCA1;PRKAA1;INSIG2;HMGCR;MAPK1"
"Atp Synthesis Coupled Electron Transport",-2.23290642141028,6.18487363810983e-06,"NDUFB9;PARK7;NDUFS3;UQCR11;NDUFAF1;NDUFA9;DGUOK;NDUFB3;UQCRC2;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;CYC1;GHITM;NDUFA8;NDUFA6;SDHD;COX6C;NDUFC2;NDUFV2;NDUFB2;UQCRH;MTCH2;UQCRFS1;DLD;NDUFA1;COX5B;NDUFB10;NDUFB8;UQCR10;NDUFA7;COX4I1;UQCRQ;NDUFC1;SDHC;COX7C;NDUFA4;NDUFS4;CHCHD2;COX6B1;COX7A2;COX7B;NDUFS1;COX6A1;SDHB;NDUFA11;SDHAF2;COX8A;SNCA;NDUFB4;NDUFS6;SDHA;COQ9;NDUFA2;NDUFB6;COX7A2L;COX5A;NDUFA5"
"Mitochondrion Organization",-1.71213600949363,6.18487363810983e-06,"BNIP3;UCP2;GGCT;FAM162A;SAMM50;APOO;SOD2;PRDX3;MTM1;SPATA18;HK2;NOL3;CXADR;PARK7;DDHD2;RHOT1;RAB38;NDUFS3;TOMM5;TIMMDC1;PPIF;TOMM40;NDUFAF1;MFSD8;APOOL;COA5;LIPA;IMMT;EPM2A;GCLM;TACO1;MAN2A1;HMGCL;AIFM1;PTPMT1;AGTPBP1;RAP1GDS1;DAP3;TIMM8B;AGK;CHCHD10;NDUFS8;SLIRP;TOMM6;GABPB1;NDUFS5;CMC1;YME1L1;TIMM10;PGAM5;FIS1;GHITM;TFAM;NDUFA6;MTX3;PIM2;OCIAD2;CASP6;ROMO1;SSBP1;TIMM13;TMEM126A;NDUFC2;TFRC;COX16;STOML2;MTCH2;ARMCX3;UQCRFS1;SLC25A33;GPX1;TIMM8A;VDAC2;CHCHD7;GSK3B;FASTKD3;NDUFAF2;LONP1;SLC25A4;AFG3L2;IFIT2;LYRM2;HSPD1;PARL;CCDC93;CAMKMT;STAT3;TIMM22;SMAD3;NME3;HSPA9;SLC25A46;DNAJA3;ATPAF2;GDAP1;HSD17B10"
"Purine Containing Compound Catabolic Process",-2.06891140196948,6.18487363810983e-06,"PGK1;LDHA;MLXIPL;ALDOC;ENO2;UCP2;SLC2A6;UCHL1;TPI1;ENO1;GAPDH;NME1;GPI;PFKP;PFKFB4;HK2;PGAM1;PGAM4;PDE8A;MFSD8;NUDT12;SLC4A4;LIPA;ALDOA;PRKAA1;PDE10A;FITM2;HKDC1;ACOT7;NUDT16;PNP;PFKFB3;ENPP4;AMPD3;SUCLG1;FBP1;ITPA;DHTKD1;PSEN1;MTCH2"
"Ribose Phosphate Biosynthetic Process",-2.09901778336785,6.18487363810983e-06,"AK4;AK2;ENO1;NME1;PAICS;NDUFB9;MAP2K1;APRT;PAPSS2;NDUFS3;LIPA;ALDOA;NDUFA9;GMPS;NDUFB3;IMPDH2;NUDT2;NDUFS8;MTHFD1;NDUFAB1;NDUFA12;NDUFS5;AMPD3;NDUFA8;NDUFA6;NME4;UPP1;SDHD;NDUFC2;NDUFV2;NDUFB2;STOML2;NDUFA1;PRKAG2;SLC25A13;ATIC;HPRT1;NDUFB10;NDUFB8;DHODH;STAT3;NME3;NME7;NDUFA7;NDUFC1;PAPSS1;SDHC;NME2;NDUFA13;VCP;GART;NDUFS4"
"Wnt Signaling Pathway",1.6928118403035,7.1420807302105e-06,"SOX4;CALCOCO1;WNT5A;SEMA5A;PRICKLE1;NDP;ASPM;SFRP4;CDH3;FOXO1;JUP;NDRG2;DEPDC1B;CD24;LRP5;GPC4;DAAM2;KANK1;VANGL2;CMAHP;FZD5;BICC1;ZNRF3;DAB2IP;CITED1;TGFB1I1;IGFBP1;LMBR1L;NKD1;MARK1;LRRFIP2;LDB1;TMEM88;LRP6;SFRP5;AMOTL2;ITGA3;MEST;DACT1;GRB10;CDK14;FZD4;BCL7A;WNK3;MED12;EGR1;NRBP2;VGLL4;PPM1B;COL6A1;EDNRB;SNAI2;APCDD1L;IGFBP2;FRAT2;KLF4;SOX13;APC2;NR4A2;TCF7;CELSR2;GPC5;MDK;TCF7L1;PAF1;CSNK1E;RARG;RYK;NFATC1;GSK3A;SPIN4;AXIN1;PTK7;NPPA;EGFR;MAD2L2;SOX9;HIC1;DVL2;TCF7L2;PYGO2;BRD7;EXT1;DAAM1;CTNNBIP1;FERMT2;DLX5;LIMD1;DVL3;ARHGEF19;DDIT3;FBXW4;FZD3;PLEKHA4;MDFI;WWOX;FGFR2;SMAD4;FRAT1;AXIN2;RNF146;PYGO1;BCL9;NLK;SHISA6;CELSR1;PKD1;INVS;IFRD1;SHISA2;WNT4;ZBED3;TSC2;GLI1;AMOTL1;HMGA2;SMURF2;CDH2;TAX1BP3"
"Cardiac Ventricle Development",2.0148161587647,7.63399030243399e-06,"SOX4;WNT5A;HES1;NPY2R;ZFPM2;SAV1;VANGL2;TGFB2;SMAD6;HEYL;HAND2;SEMA3C;NRG1;COL11A1;DSP;GJA5;GREB1L;MYOCD;SCN5A;TBX3;JAG1;TNNI3;PAX8;SUFU;PRDM1;BMPR2;GRHL2;PPP1R13L;GSK3A;PTK7;APLNR"
"Synapse Organization",1.6218566009659,9.60715729230905e-06,"NLGN4X;WNT5A;PRICKLE1;DBN1;RIMS1;GRID2;SEMA7A;PAK3;CPEB3;CLSTN2;COLQ;GPC4;VANGL2;PRRT1;CDKL5;PTPN13;FZD5;HIP1R;CAMK1;IQSEC2;PICK1;PPFIBP1;CC2D1A;NRP1;SEMA4A;PTPRS;PCDH17;TLN2;KCNJ8;ERBB2;CNTN4;INSR;TMEM108;DAB2IP;ANK3;KIF2C;SRGAP3;RIMS2;LINGO2;CACNB2;MARK1;TRIM47;IGSF11;LSAMP;SRGAP2;LIN7B;RAB3A;RIMS3;ITGA3;DLG5;FILIP1;NGEF;ARHGAP33;RHOB;PLXNB1;RPS6KA5;ARHGAP44;SPTBN2;SYNDIG1;IL10;ACTG1;FGFR1;LZTS1;ERC2;PALM;MTMR2;SLC12A5;CAPS2;CDH1;CDC20;FYN;KIF1A;C3;ZDHHC15;PTPRD;NTRK2;SEMA4C;AMIGO2;PCDHB14;MAPRE3;LRRC24;DLG4;BSN;RYK;HOMER1;MDGA1;DNM3;ZMYND8;PTK7;STAU2;DOCK1;COL4A5;VSIG10;LRFN3;FCGR2B;SLITRK4;SLITRK2;NRP2;SYNGAP1;C1QC;CNTN2;DAAM1;TUBA1A;C1QTNF3;ARHGEF9;CHRNA7;KIRREL3;F2R;WASF3;CHRNB2;PPP1R9B;SNCG;DTNBP1;DLGAP4;CX3CR1;AKT1;ANAPC2;CLSTN3;AMOT;RAB39B;DAG1;SHISA6;ERC1;SYN3;SYN1;ZC4H2;EFNA5;SORT1;ERBB3;CTTNBP2;EFNA1;LAMB2;DCTN1;AGRN;PCDHB13"
"Protein Folding",-1.84493410178815,1.12484372317498e-05,"PDIA6;PPIA;HSPA5;P4HB;PDIA3;GRPEL1;HSP90B1;PPIF;CANX;B2M;SIL1;CCT5;CALR;LMAN1;AIFM1;MKKS;PPIE;PDIA4;BAG4;PPID;PPIB;DNAJA4;LMAN2L;ERP29;ERP27;HSP90AB1;CCT8;HSPA6;PDIA5;HSPA4L;FKBP1A;PEX19;CMC1;FKBP10;CCT3;TBCE;DNAJC1;CCDC47;RP2;PFDN6;DNAJA2;PTGES3;PDRG1;CCT7;DNAJC5;DNAJC25;DNAJC2;RUVBL2;DNAJC7;HSPA4;DNAJA1;NAA10;PDCD5;PDCL3;BAG2;TRAP1;HSP90AA1;HSPE1;CDC123;HSPD1;HSPBP1;HSPA9;DNAJA3;CLPX;CRYAB;ARL2;CDC37L1;MPDU1;TTC1;BAG5;CCT6A"
"Acyl Coa Metabolic Process",-2.14871234013199,1.58689411104021e-05,"PGK1;ELOVL6;MVK;PDK1;ACLY;HSD17B12;MVD;NME1;DLAT;TPK1;TECR;HMGCS1;FASN;ACSS2;PPT1;HSD17B4;ACSL1;ACSL3;PDK3;FITM2;ACOT7;HMGCR;PCCA;GPAM;FAR1;ELOVL5;ACSL4;SUCLG1;ACACA;ACOT4;PMVK;OXSM;DLD;MCEE;ACOT9;DGAT2;MLYCD;NUDT8"
"Monosaccharide Catabolic Process",-2.26758947086832,1.61985004218458e-05,"PGK1;LDHA;ENO2;TPI1;ENO1;GAPDH;MPI;NUDT5;PFKP;HK2;PGAM1;GALT;ALDOA;GALE;GALM;GLB1"
"Acyl Coa Biosynthetic Process",-2.26841389983681,1.76705360783002e-05,"PGK1;ELOVL6;PDK1;ACLY;HSD17B12;DLAT;TPK1;TECR;FASN;ACSS2;PPT1;ACSL1;ACSL3;PDK3;PCCA;ELOVL5;ACSL4;ACACA;DLD;MCEE;MLYCD"
"Atp Biosynthetic Process",-2.18426095229276,1.7868799046309e-05,"ENO1;NDUFB9;MAP2K1;NDUFS3;LIPA;ALDOA;NDUFA9;NDUFB3;NUDT2;NDUFS8;NDUFAB1;NDUFA12;NDUFS5;NDUFA8;NDUFA6;SDHD;NDUFC2;NDUFV2;NDUFB2;STOML2;NDUFA1;PRKAG2;SLC25A13;NDUFB10;NDUFB8;STAT3;NDUFA7;NDUFC1;SDHC;NDUFA13;VCP;NDUFS4;PID1;NDUFS1;COX11;SDHB;NDUFA11"
"Glycolytic Process Through Fructose 6 Phosphate",-2.40141564779545,1.7868799046309e-05,"PGK1;ENO2;TPI1;ENO1;GAPDH;PFKP;HK2;PGAM1;ALDOA"
"Regulation of Trans Synaptic Signaling",1.68345701223339,2.2714296363992e-05,"NLGN4X;HOMER2;WNT5A;S100B;DBN1;RIMS1;NPY2R;GRID2;GABRB1;CAMK2D;PRKCZ;CPEB3;CLSTN2;COLQ;PLCL1;RIMS4;AKAP12;GRIK1;CALHM2;PLAT;SYT2;PRRT1;CDKL5;IGF1;IQSEC2;ADRA2A;PICK1;SYT11;PTPRS;PCDH17;ACE;MAPK8IP2;CNTN4;TMEM108;RIMS2;IGSF11;TSHZ3;ABR;RAB3A;RIMS3;ADCY1;BCL7A;ARHGAP44;SYNGR1;PRKCG;LZTS1;MTMR2;BRSK1;NEO1;CDH1;PDE9A;CDC20;FYN;PTPRD;NTRK2;TACR2;PLK2;FAAH;ADORA3;DLG4;BSN;HOMER1;ZMYND8;STAU2;AGER;GABBR1;SLC1A3;CSPG5;SLITRK4;SYNGAP1;SYT1;GNAO1;ELOVL4;PRKAR1B;CNTN2;GRIK2;C22orf39;SYT5;C1QTNF3;SRF;CHRNA7;F2R;FXR2;GRID2IP;CHRNB2;SNCG;DTNBP1;DLGAP4;CX3CR1;GRM3;ANAPC2;CLSTN3;FBXL20;DAG1;SHISA6;EFNB3;GRIK5;SYN3;HIP1;SYN1;SLC38A2;SYT7"
"Ribosomal Small Subunit Biogenesis",-2.096494355046,2.2962197879155e-05,"WDR43;RCL1;RRP36;RPS12;NPM1;RRP7A;NOL11;RPS13;TSR1;IMP3;RPP40;RPS28;RPS8;RPS5;RPS15A;RPS23;RPS21;WDR36;RPSA;RPS27A;EMG1;SRFBP1;NOL7;RPS6;RPS19BP1;DCAF13;RPS24;DDX52;NOP14;UTP6;BYSL;UTP20;FBL;PRKDC;RPS17;WDR3;RPS3A;NOB1;RPS14;BMS1;RPS19;XRCC5;NAT10;FCF1;HEATR1;NOM1;TSR2;RPS27L;RPS16;UTP15;DNTTIP2;LTV1;RPS7;GTF2H5;RPS9;ERAL1;RPS4X;SURF6;UTP23;KRI1"
"Cytoplasmic Translation",-1.90242162986121,3.03426792019425e-05,"GAPDH;CPEB2;EIF3I;RPL22L1;RPS12;EIF3B;RPL29;CNBP;RPL6;RPL38;UBA52;RPS13;EIF4A1;RPL22;RPS28;RPLP0;RPL23A;NCBP2;RPS8;DHX36;RPL27;RPS5;RPS15A;RPS23;RPL35A;EIF2S2;RPS21;RPL5;RPS3;RPSA;RPS27A;RPS29;RPL39;ALKBH3;RPL10A;RPL7A;RPL12;RPL32;RPS6;RPL35;RPL19;RPS24;SYNCRIP;RPL37;FTSJ1;RPL13A;RPL28;RPS2;RPS17;RPS3A;RPS14;RPL21;RPL15;RPS19;RPL11;RPS18;RPL7;RPL14;RPLP2;RPL36;RPL34;DHX9;RPL31;RPL4;RPL18A;IMPACT;RPS20;EIF2B4;RPL8;RPL36AL;RPL26;NCK1;MIF4GD;RPS16;RPL23;EIF3K;SMYD5;DRG1;RPLP1"
"Steroid Metabolic Process",-1.8131136530895,3.37596573780859e-05,"EBP;NSDHL;FDPS;CYP11A1;APOC1;NR1H4;PCSK9;CYP51A1;DHCR7;MVK;VLDLR;HSD17B7;ACLY;HSD17B12;HSD11B1;LSS;MVD;SEC14L2;APOA1;SCARB1;HSD3B2;STAR;CAT;AKR1B1;OSBPL6;SQLE;ANGPTL3;HMGCS1;NR3C1;LPCAT3;RORA;APOE;HSD17B6;IDI1;ERRFI1;HSD17B4;AKR1C2;STARD4;LIPA;FDFT1;ABCA1;PRKAA1;SRD5A3;DHRS2;DHRS9;INSIG2;HMGCR;HINT2;MAPK1"
