id,Unnamed: 1,C1,C2,C3,C4,C5,P1,P2,P3,P4,P5
90167,FRMD7,0.0,0.0,0.0,0.11,0.04,0.0,0.0,0.05,0.0,0.0
90187,EMILIN3,1.99,0.86,0.37,0.57,0.89,1.56,1.47,2.73,1.11,0.72
9019,MPZL1,85.77,86.81,108.6,149.07,108.96,83.14,70.95,101.14,80.2,77.33
90196,SYS1,22.62,23.39,23.0,26.13,28.11,25.04,21.46,28.01,23.35,22.99
90199,WFDC8,1.45,0.61,0.89,0.49,1.04,0.77,0.86,1.29,0.81,0.12
902,CCNH,20.37,32.99,25.33,29.56,25.62,28.8,27.32,34.49,31.72,28.56
9020,MAP3K14,13.78,5.64,11.99,8.32,16.37,16.96,15.37,15.01,10.08,6.92
90203,SNX21,34.27,26.82,27.74,23.26,38.26,48.91,30.13,33.84,25.51,28.9
90204,ZSWIM1,6.86,8.02,7.19,5.82,7.86,9.7,8.19,8.38,6.53,6.13
9021,SOCS3,131.77,278.43,102.77,160.43,215.51,390.59,211.66,395.74,172.19,270.66
9022,CLIC3,0.57,0.11,0.04,0.2,0.19,0.34,0.46,0.52,1.06,0.24
90226,UCN2,0.18,0.0,0.29,0.14,0.11,0.19,0.02,0.09,0.08,0.0
9023,CH25H,0.14,0.91,0.21,0.79,0.34,0.9,0.59,0.47,0.5,1.52
90231,KIAA2013,34.72,36.9,28.5,29.69,42.92,34.17,29.87,39.8,31.3,43.68
90233,ZNF551,9.19,10.19,11.66,9.8,13.47,10.09,10.01,9.76,10.68,5.61
9024,BRSK2,1.15,0.51,0.45,0.31,0.34,0.71,0.68,0.25,0.16,0.28
90246,LOC90246,0.25,0.11,0.35,0.46,0.32,0.45,0.99,0.39,0.51,0.0
90249,UNC5A,0.48,0.45,0.06,0.03,0.17,0.0,0.25,0.45,0.19,0.56
9025,RNF8,16.7,22.19,25.0,21.4,20.69,14.68,19.28,24.48,20.74,16.08
9026,HIP1R,10.82,8.1,6.02,7.22,7.01,11.65,9.55,17.7,13.86,11.24
90268,FAM105B,36.44,28.93,37.18,37.72,37.28,27.69,33.28,43.56,35.55,28.16
9027,NAT8,0.43,0.53,0.1,0.06,0.22,0.68,0.45,0.3,0.49,0.0
90271,NCRNA00263,1.4,1.28,0.87,1.57,1.22,1.5,1.43,0.89,1.71,0.8
90273,CEACAM21,2.15,0.94,1.79,1.0,0.33,7.27,2.27,6.47,10.34,4.79
9028,RHBDL1,0.84,0.61,0.21,0.5,0.33,0.56,0.96,0.97,0.24,0.62
90288,C3orf25,2.38,0.13,0.25,0.39,0.77,1.39,1.19,1.13,0.47,0.44
90293,KLHL13,2.72,3.82,5.71,3.69,5.67,10.85,5.46,6.96,5.81,5.15
9031,BAZ1B,174.62,241.19,142.9,215.07,206.7,152.97,234.46,167.79,135.62,111.63
90313,TP53I13,20.9,18.82,16.69,14.17,25.78,19.4,11.29,34.02,19.01,33.41
90316,TGIF2LX,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
90317,ZNF616,4.08,6.04,4.22,3.43,3.63,6.95,5.72,5.48,4.62,3.25
9032,TM4SF5,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.01,0.0,0.0
90321,ZNF766,5.48,7.83,4.99,5.7,4.36,7.61,7.74,5.65,7.44,5.23
90324,CCDC97,21.46,14.12,13.11,12.83,20.92,26.26,22.97,27.96,21.03,14.87
90326,THAP3,7.13,5.45,5.21,3.93,7.75,5.86,4.49,6.17,5.19,8.92
9033,PKD2L1,0.04,0.16,0.21,0.11,0.19,0.0,0.0,0.04,0.0,0.24
90332,EXOC3L2,0.82,0.24,0.39,0.37,0.77,0.49,0.34,1.32,0.46,0.2
90333,ZNF468,13.58,20.75,21.82,17.25,29.07,22.07,20.89,18.28,21.5,11.75
90338,ZNF160,60.62,54.27,40.68,51.59,53.5,79.83,73.01,54.21,68.06,41.93
9034,CCRL2,1.4,4.87,1.34,3.39,10.49,1.69,2.24,5.76,1.45,4.71
90342,FER1L5,0.14,0.27,0.1,0.0,0.21,0.04,0.34,0.32,0.0,0.16
90353,CTU1,4.66,5.13,3.09,2.66,6.0,4.32,3.33,4.7,3.9,5.41
90355,C5orf30,75.29,64.81,69.8,89.02,85.66,47.78,61.5,71.13,79.71,56.36
90362,FAM110B,5.71,8.29,6.94,7.14,4.85,6.28,6.14,8.94,4.42,7.14
9037,SEMA5A,3.83,3.85,4.95,2.1,3.64,9.89,7.39,8.16,10.84,6.17
90378,SAMD1,7.36,5.67,4.76,5.12,3.95,7.07,6.46,7.29,5.19,8.16
90379,DCAF15,9.4,9.3,3.73,6.16,6.99,9.02,7.04,9.58,9.31,12.25
9038,TAAR5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0
90381,C15orf42,1.31,0.96,0.76,1.57,1.37,2.54,2.05,2.68,1.46,1.86
9039,UBA3,25.22,41.92,43.03,41.55,35.7,36.02,36.43,33.74,37.95,30.31
90390,MED30,3.98,4.65,4.47,4.01,4.32,2.84,3.46,4.12,4.42,8.32
904,CCNT1,68.34,87.24,85.3,87.47,97.23,85.34,107.69,114.17,107.23,90.12
9040,UBE2M,34.97,24.12,27.7,31.55,36.84,34.4,26.17,38.66,29.4,42.25
90407,TMEM41A,20.89,17.89,18.01,24.75,23.53,16.32,17.4,25.69,20.73,12.31
90410,IFT20,6.54,9.71,10.63,10.32,6.71,7.37,6.85,6.15,7.52,10.12
90411,MCFD2,183.57,223.38,237.61,221.48,265.97,201.36,200.15,233.57,199.5,206.28
90416,C15orf57,4.91,7.73,7.48,4.16,6.55,6.65,5.11,7.88,6.73,5.23
90417,C15orf23,3.73,8.02,6.16,5.94,4.18,6.71,5.43,6.43,5.81,9.5
90423,ATP6V1E2,0.79,0.86,1.07,0.66,1.71,1.35,1.11,1.61,1.35,1.16
90427,BMF,1.25,1.71,0.91,2.21,2.07,2.46,1.97,4.19,5.6,1.72
9043,SPAG9,244.73,188.2,306.34,245.26,325.3,255.74,228.53,285.66,244.63,168.17
9044,BTAF1,175.66,201.59,224.15,233.23,269.2,222.54,245.01,253.7,238.85,187.5
90441,ZNF622,14.46,12.33,16.3,13.32,14.8,13.99,11.56,14.62,14.8,16.0
9045,RPL14,191.96,205.95,254.65,214.31,122.59,202.99,145.73,121.0,193.15,201.49
90459,ERI1,8.65,12.38,10.9,15.09,12.82,10.15,13.62,11.86,11.48,8.62
9046,DOK2,0.63,4.55,0.7,2.91,6.09,2.29,2.78,8.35,1.03,3.55
9047,SH2D2A,1.06,1.07,0.8,2.26,1.41,0.86,1.74,1.93,0.6,0.44
9048,ARTN,1.07,0.64,1.03,0.33,0.25,0.41,1.42,1.47,0.3,0.08
90480,GADD45GIP1,29.68,26.87,35.63,18.9,23.37,30.04,18.56,24.48,22.36,29.59
90485,ZNF835,1.02,1.1,0.6,0.6,1.19,1.32,1.23,1.18,0.51,0.4
90488,C12orf23,48.56,48.47,61.99,64.84,55.32,49.85,57.47,57.15,65.0,44.04
9049,AIP,27.12,28.98,28.03,23.08,22.9,33.99,19.3,33.21,31.71,57.07
90499,LOC90499,0.36,0.16,0.08,0.0,0.22,0.0,0.12,0.66,1.03,1.02
905,CCNT2,56.64,52.59,63.49,63.67,73.35,52.16,61.54,70.81,73.22,43.76
9050,PSTPIP2,27.37,39.81,28.75,19.52,30.31,23.82,29.81,32.11,17.33,22.63
90506,LRRC46,0.79,0.8,0.08,0.06,0.38,0.64,0.35,0.51,0.11,0.0
90507,SCRN2,7.86,11.5,6.7,5.07,8.64,14.1,6.42,11.78,5.14,12.79
9051,PSTPIP1,0.84,5.21,1.09,1.67,1.36,1.58,1.36,2.4,0.38,1.66
9052,GPRC5A,46.48,26.74,42.78,63.15,85.3,44.14,33.52,69.73,57.25,28.28
90522,YIF1B,24.13,21.39,20.24,20.72,28.08,18.82,10.04,23.4,20.91,28.5
90523,MLIP,0.57,0.11,0.45,0.43,0.15,0.0,0.06,0.14,0.0,0.0
90525,SHF,6.91,4.52,3.73,3.34,3.18,10.66,4.6,7.65,9.51,13.47
90527,DUOXA1,2.11,1.15,1.34,3.49,3.03,1.39,3.05,2.55,0.99,1.2
90529,C1orf201,3.85,3.61,3.07,2.8,2.62,1.43,1.93,4.21,2.75,4.49
9053,MAP7,17.07,18.23,12.65,17.87,16.63,19.98,21.83,15.53,17.51,22.15
9054,NFS1,15.48,20.19,17.54,16.82,16.05,12.84,12.47,18.09,14.76,18.72
9055,PRC1,5.28,5.24,5.46,5.3,4.89,8.82,4.74,10.65,8.39,14.33
90550,MCU,8.53,10.11,9.36,12.06,9.84,7.29,10.29,9.97,9.77,11.24
90557,CCDC74A,12.65,4.92,5.44,4.13,6.31,7.61,6.03,8.14,12.14,9.94
9056,SLC7A7,2.17,8.34,1.88,4.03,8.08,2.84,2.98,9.96,3.54,6.69
9057,SLC7A6,38.35,34.78,29.61,39.02,36.56,25.71,32.71,37.28,32.26,18.44
90576,ZNF799,1.72,3.07,1.36,1.9,1.73,1.5,2.41,2.91,2.87,2.31
9058,SLC13A2,0.0,0.0,0.0,0.0,0.02,0.0,0.06,0.07,0.0,0.0
90580,C19orf52,5.0,5.08,6.18,3.39,4.73,5.7,3.84,7.35,5.53,5.49
90586,AOC4,0.86,0.78,0.49,0.56,0.98,0.53,3.9,0.83,0.38,0.28
90589,ZNF625,1.7,4.79,1.85,2.24,1.89,2.31,3.27,2.93,2.74,1.48
90592,ZNF700,14.85,21.42,20.28,21.36,18.62,23.95,27.68,20.33,17.89,15.31
90594,ZNF439,4.85,6.71,4.02,6.22,5.71,6.05,8.18,6.71,6.23,3.63
9060,PAPSS2,153.64,167.34,179.43,241.38,189.21,128.5,150.81,171.37,150.82,113.09
9061,PAPSS1,19.49,21.12,26.03,24.9,18.27,21.33,19.55,22.18,18.67,16.94
90624,LYRM7,26.05,27.78,20.3,21.13,27.13,21.67,26.41,29.22,22.53,14.39
90627,STARD13,91.54,50.48,129.75,61.57,124.28,93.48,88.59,99.64,84.89,37.32
9063,PIAS2,29.77,30.0,28.05,29.06,33.59,30.68,33.68,32.52,26.8,24.77
90632,C6orf176,0.3,1.71,2.31,1.03,1.16,2.11,4.04,5.18,2.29,0.98
90634,N4BP2L1,6.27,5.43,3.73,5.16,5.85,6.86,7.67,9.69,13.64,8.0
90637,ZFAND2A,13.0,6.68,9.21,11.47,14.18,6.07,5.91,11.34,7.87,14.23
90639,COX19,20.65,16.55,13.44,16.65,18.04,17.56,18.74,19.53,14.57,15.05
9064,MAP3K6,23.45,13.53,11.62,9.72,12.24,14.51,17.5,13.96,12.28,10.06
90649,ZNF486,3.96,5.24,3.07,4.49,4.69,3.95,6.76,5.99,7.68,7.02
9066,SYT7,6.79,2.35,3.26,3.93,5.05,7.8,4.67,4.83,4.09,4.89
90665,TBL1Y,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0
90668,LRRC16B,0.66,0.4,0.35,0.17,0.6,0.23,0.34,0.86,1.02,0.24
90673,PPP1R3E,0.93,2.35,1.5,1.51,1.89,1.35,2.36,2.42,1.61,1.52
90678,LRSAM1,21.96,13.02,10.04,11.36,10.92,14.98,15.61,13.17,10.66,13.99
9068,ANGPTL1,13.85,26.92,20.36,21.38,19.88,23.59,18.14,16.47,21.12,16.34
9069,CLDN12,51.09,63.61,64.28,73.87,64.19,42.86,54.86,47.39,70.46,51.19
90693,CCDC126,3.4,5.88,4.93,7.74,6.26,3.68,5.08,5.94,7.95,6.31
9070,ASH2L,27.78,32.94,27.51,26.99,34.02,44.36,35.99,39.18,35.4,24.98
90701,SEC11C,10.14,12.59,16.73,9.93,7.03,7.52,7.93,7.28,9.8,9.28
9071,CLDN10,0.14,0.21,0.33,0.61,0.41,0.09,0.19,0.51,0.04,0.44
9073,CLDN8,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.09,0.54,0.0
90736,FAM104B,6.97,9.12,8.37,9.17,6.39,6.9,6.05,6.76,5.79,7.58
90737,PAGE5,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0
9074,CLDN6,0.48,0.0,0.21,0.01,0.1,0.38,0.42,0.14,0.46,0.0
9075,CLDN2,0.3,0.37,0.99,0.4,0.53,0.56,0.8,0.68,0.38,0.44
9076,CLDN1,28.8,82.54,42.29,53.14,57.93,7.74,20.92,31.34,11.11,13.29
90768,MGC45800,6.2,4.81,11.42,7.57,13.45,11.75,15.78,13.6,10.74,9.34
9077,DIRAS3,60.8,44.11,207.25,46.27,48.25,231.9,134.3,70.29,66.61,70.46
90780,PYGO2,23.34,17.59,11.6,13.27,21.63,22.65,19.38,26.2,20.76,19.04
90784,LOC90784,12.65,7.33,13.13,12.13,14.37,18.16,11.2,12.36,14.67,7.9
9079,LDB2,0.47,1.31,0.66,0.67,0.54,0.79,1.96,2.56,0.38,1.2
90799,CEP95,18.41,18.45,18.14,17.72,19.02,22.09,26.72,22.53,20.53,11.67
908,CCT6A,112.62,136.54,202.74,150.87,127.17,155.25,124.72,112.04,139.65,112.89
9080,CLDN9,0.0,0.0,0.0,0.0,0.04,0.0,0.06,0.05,0.0,0.0
90806,ANGEL2,24.76,28.58,24.44,34.71,35.43,27.65,34.28,36.1,42.82,33.03
90809,TMEM55B,10.8,13.5,7.69,8.79,15.62,9.02,9.6,13.17,10.73,7.66
